id,price,minimum_nights,maximum_nights,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
0,70.0,1,365,flexible,0,0
1,17.0,4,40,strict_14_with_grace_period,0,0
2,50.0,15,730,moderate,0,0
3,80.0,5,730,moderate,0,0
4,115.0,3,10,moderate,0,0
5,25.0,2,365,strict_14_with_grace_period,0,0
6,65.0,5,180,moderate,0,0
7,54.0,3,730,moderate,0,0
8,55.0,3,365,strict_14_with_grace_period,0,0
9,90.0,3,180,moderate,0,0
10,40.0,1,30,flexible,1,1
11,45.0,1,30,strict_14_with_grace_period,0,0
12,20.0,2,1125,strict_14_with_grace_period,0,0
13,65.0,5,365,moderate,0,0
14,62.0,28,360,strict_14_with_grace_period,1,0
15,75.0,28,360,strict_14_with_grace_period,1,0
16,75.0,28,360,strict_14_with_grace_period,1,0
17,110.0,2,365,flexible,0,0
18,85.0,3,730,strict_14_with_grace_period,0,0
19,80.0,8,1125,moderate,0,0
20,64.0,3,365,moderate,0,0
21,102.0,3,365,strict_14_with_grace_period,0,0
22,60.0,3,365,flexible,0,0
23,60.0,3,1125,moderate,0,1
24,100.0,2,365,flexible,0,0
25,112.0,2,30,strict_14_with_grace_period,0,0
26,55.0,2,365,strict_14_with_grace_period,1,1
27,32.0,1,365,strict_14_with_grace_period,0,0
28,25.0,3,365,moderate,0,0
29,60.0,2,30,flexible,0,0
30,65.0,3,90,strict_14_with_grace_period,0,0
31,20.0,3,90,moderate,0,0
32,194.0,3,30,moderate,0,0
33,89.0,2,730,moderate,0,0
34,68.0,4,90,strict_14_with_grace_period,0,0
35,75.0,2,120,flexible,0,0
36,40.0,1,730,flexible,0,0
37,75.0,2,365,flexible,0,0
38,85.0,3,365,strict_14_with_grace_period,0,0
39,35.0,1,365,strict_14_with_grace_period,0,0
40,29.0,1,1125,strict_14_with_grace_period,0,0
41,67.0,3,365,strict_14_with_grace_period,0,0
42,200.0,2,700,flexible,0,0
43,30.0,3,730,strict_14_with_grace_period,0,0
44,21.0,1,365,flexible,1,0
45,80.0,2,1125,strict_14_with_grace_period,0,0
46,69.0,3,330,strict_14_with_grace_period,0,0
47,65.0,90,365,strict_14_with_grace_period,0,0
48,45.0,1,5,flexible,0,0
49,25.0,2,730,moderate,0,0
50,90.0,25,30,strict_14_with_grace_period,0,1
51,160.0,3,30,flexible,1,1
52,80.0,5,365,strict_14_with_grace_period,1,1
53,80.0,5,90,strict_14_with_grace_period,1,1
54,19.0,4,1125,strict_14_with_grace_period,0,0
55,90.0,1,730,strict_14_with_grace_period,0,0
56,30.0,1,730,strict_14_with_grace_period,0,0
57,30.0,1,365,strict_14_with_grace_period,0,0
59,70.0,3,1000,strict_14_with_grace_period,0,0
