id,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_verifications_email,host_verifications_phone,host_verifications_reviews,host_verifications_facebook,host_verifications_government_id,calculated_host_listings_count,host_seniority
0,within_an_hour,100.0,1,1,0,1,1,1,0,1,1,3921
1,,,0,1,1,1,1,1,0,1,2,3610
2,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,3614
3,within_a_few_hours,100.0,0,1,1,1,1,1,1,1,1,3572
4,within_an_hour,100.0,1,1,0,1,1,1,1,0,1,3572
5,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,1,3545
6,within_an_hour,100.0,1,1,0,1,1,1,0,0,3,3518
7,,,0,1,0,1,1,1,1,0,1,3516
8,within_a_day,100.0,0,1,1,1,1,1,0,1,1,3460
9,within_an_hour,100.0,1,1,0,1,1,1,0,0,3,3518
10,,,0,1,0,1,1,1,1,0,1,3342
11,within_an_hour,100.0,0,1,1,1,1,1,1,1,2,3329
12,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,3320
13,within_an_hour,100.0,0,1,0,1,1,1,0,1,2,3278
14,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,5,3278
15,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,5,3278
16,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,5,3278
17,within_an_hour,100.0,0,1,1,1,1,1,1,1,5,3270
18,within_an_hour,100.0,1,1,1,1,1,1,0,1,9,3261
19,,,0,1,1,1,1,1,0,1,1,3252
20,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,3246
21,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,3267
22,,,0,1,1,1,1,1,0,1,1,3220
23,within_a_day,67.0,0,1,0,1,1,1,1,0,1,3378
24,within_an_hour,100.0,0,1,1,1,1,1,1,1,5,3270
25,within_an_hour,100.0,0,1,0,1,1,1,1,1,1,3202
26,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,3198
27,within_an_hour,100.0,0,1,1,1,1,1,1,1,3,3196
28,within_a_day,90.0,0,1,0,1,1,1,0,0,1,3192
29,,,0,1,1,1,1,1,0,1,1,3185
30,within_an_hour,100.0,0,1,1,1,1,1,0,1,4,2470
31,within_an_hour,100.0,0,1,0,1,1,0,1,0,1,3182
32,within_an_hour,100.0,0,1,0,1,1,1,0,0,12,3182
33,within_a_few_hours,100.0,0,1,1,1,1,1,0,1,1,3182
34,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,3180
35,within_an_hour,100.0,0,1,0,1,1,1,1,1,4,3272
36,within_a_day,100.0,0,1,0,1,1,0,1,0,1,3170
37,within_an_hour,100.0,0,1,0,1,1,1,1,1,4,3272
38,within_an_hour,100.0,1,1,1,1,1,1,0,1,9,3261
39,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,3158
40,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,3157
41,within_an_hour,100.0,0,1,0,1,1,1,0,1,6,3158
42,within_an_hour,100.0,0,1,1,1,1,1,0,1,1,3150
43,within_a_day,90.0,1,1,0,1,1,1,0,0,1,3145
44,,,0,1,1,1,1,1,1,1,1,3141
45,within_an_hour,100.0,0,1,0,1,1,1,0,1,9,3126
46,within_an_hour,100.0,0,1,1,1,1,1,0,1,8,3122
47,,,0,0,0,0,0,0,0,0,1,-1
48,within_a_day,100.0,1,1,0,1,1,1,0,0,2,3107
49,within_a_few_hours,96.0,0,1,1,1,1,1,1,1,7,3105
50,within_a_few_hours,83.0,0,1,0,1,1,1,0,0,2,3103
51,within_a_day,100.0,0,1,1,1,1,1,1,1,2,3103
52,within_an_hour,100.0,0,1,0,1,1,1,0,1,31,3160
53,within_an_hour,100.0,0,1,0,1,1,1,0,1,31,3160
54,within_an_hour,100.0,0,1,0,1,1,1,0,1,4,3095
55,within_a_day,80.0,0,1,1,1,1,1,1,1,5,3089
56,within_a_day,80.0,0,1,1,1,1,1,1,1,5,3089
57,within_a_day,80.0,0,1,1,1,1,1,1,1,5,3089
59,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,3080
60,within_an_hour,100.0,0,1,1,1,1,1,0,1,2,3094
61,within_a_few_hours,100.0,0,1,0,1,1,1,1,1,2,3071
62,within_a_few_hours,100.0,1,1,1,1,1,1,1,1,1,3119
63,,,0,1,0,1,1,1,1,0,1,3631
64,within_an_hour,100.0,0,1,1,1,1,1,0,1,3,3157
65,within_an_hour,100.0,0,1,0,1,1,1,1,0,1,3063
66,within_an_hour,100.0,1,1,1,1,1,1,1,1,2,3062
67,within_an_hour,100.0,1,1,0,1,1,1,1,0,6,3528
68,within_an_hour,100.0,1,1,1,1,1,1,1,1,1,3057
69,within_a_day,100.0,0,1,1,1,1,1,1,1,1,3140
