id,neighbourhood,neighbourhood_group,latitude,longitude,dist_km_sol,dist_km_airport
0,Chamartín,Chamartín,40.45628,-3.67763,6.769415000000003,11.162062000000002
1,Aluche,Latina,40.40341,-3.74084,4.43372,18.19881799999999
2,Legazpi,Arganzuela,40.38695,-3.69304,4.552379,15.79921200000001
3,Malasaña,Centro,40.42202,-3.70395,1.848181,14.02096400000002
4,Justicia,Centro,40.41995,-3.69764,2.31748,13.364384000000014
5,Legazpi,Arganzuela,40.38985,-3.69011,4.414548000000001,15.960447000000007
6,Sol,Centro,40.41552,-3.70346,0.104131,14.106658000000015
7,Centro,Centro,40.41111,-3.70269,1.7037609999999996,14.493433000000016
8,Justicia,Centro,40.41978,-3.6973,2.336412999999999,13.383317000000014
9,Centro,Centro,40.42096,-3.70428,1.67399,13.846773000000017
10,Centro,Centro,40.41971,-3.71256,1.722189,14.552770000000017
11,Centro,Centro,40.4208,-3.69878,2.38296,13.429864000000016
12,Fuencarral-el Pardo,Fuencarral - El Pardo,40.48409,-3.72257,9.381644,14.683592000000004
13,Malasaña,Centro,40.42365,-3.70889,1.768577,14.459907000000014
14,Centro,Centro,40.42321,-3.70143,2.143245,14.098927000000018
15,Palacio,Centro,40.42138,-3.71101,1.5815810000000003,14.412162000000016
16,Centro,Centro,40.42111,-3.7101,1.6461110000000003,14.476692000000014
17,Embajadores,Centro,40.41119,-3.7047,1.631093,14.89912600000002
18,Centro,Centro,40.41139,-3.69408,2.2518169999999995,14.09227300000002
19,Centro,Centro,40.41075,-3.70759,1.7339599999999995,15.169729000000014
20,Centro,Centro,40.40743,-3.69719,2.586306,14.955517000000016
21,Centro,Centro,40.42791,-3.70999,2.340492,14.158135000000012
22,Recoletos,Salamanca,40.42315,-3.68279,3.681573999999999,11.73824100000001
23,Centro,Centro,40.40865,-3.70534,1.590213,15.025982000000017
24,Embajadores,Centro,40.40894,-3.69766,2.817845,15.187056000000014
25,Centro,Centro,40.41218,-3.71369,1.439805,15.236930000000015
26,Justicia,Centro,40.42422,-3.69538,2.920354,13.071861000000016
27,Centro,Centro,40.42462,-3.70352,2.175876,13.980552000000015
28,Cuatro Caminos,Tetuán,40.45559,-3.69421,5.756775000000001,12.528469000000005
29,Fuencarral-el Pardo,Fuencarral - El Pardo,40.50116,-3.67119,11.923470999999996,11.498069000000005
30,Centro,Centro,40.40858,-3.70301,1.944516,14.970615000000016
31,Ciudad Lineal,Ciudad Lineal,40.43331,-3.64355,7.381928000000004,8.341160999999998
32,Trafalgar,Chamberí,40.43158,-3.70071,2.9554369999999994,13.299242000000016
33,Centro,Centro,40.42153,-3.69923,2.676322,13.450357000000016
34,Embajadores,Centro,40.41158,-3.70607,1.4030380000000002,14.838807000000015
35,Chamberí,Chamberí,40.43761,-3.69802,4.123385,12.74497800000001
