id,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,days_since_last_review,days_since_first_review,number_of_reviews_en,number_of_reviews_es,number_of_reviews_otros
0,73,14,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0.61,28,3589,65.0,5.0,3.0
1,33,0,92.0,9.0,9.0,10.0,10.0,8.0,9.0,0.52,544,1918,17.0,12.0,4.0
2,0,0,,,,,,,,,-1,-1,,,
3,9,7,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.14,7,1868,6.0,2.0,1.0
4,67,15,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.64,33,3144,37.0,23.0,7.0
5,142,21,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1.21,40,3532,76.0,48.0,18.0
6,170,17,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1.47,46,3475,133.0,23.0,14.0
7,8,0,88.0,8.0,9.0,9.0,9.0,10.0,9.0,0.14,955,1704,4.0,3.0,1.0
8,162,12,93.0,9.0,9.0,9.0,10.0,10.0,9.0,1.41,161,3441,99.0,44.0,19.0
9,47,18,94.0,9.0,10.0,10.0,10.0,10.0,9.0,0.42,33,3357,24.0,21.0,2.0
10,17,3,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.17,97,3028,10.0,6.0,1.0
11,73,40,90.0,10.0,9.0,10.0,10.0,10.0,9.0,3.58,33,610,37.0,32.0,4.0
12,29,12,94.0,10.0,9.0,10.0,9.0,9.0,9.0,0.48,21,1821,6.0,19.0,4.0
13,96,24,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.89,8,3243,68.0,14.0,14.0
14,20,5,83.0,9.0,9.0,9.0,9.0,10.0,8.0,0.19,10,3174,12.0,6.0,2.0
15,5,2,80.0,8.0,8.0,10.0,9.0,10.0,8.0,0.06,14,2411,4.0,1.0,0.0
16,6,0,77.0,8.0,8.0,8.0,8.0,9.0,9.0,0.11,373,1657,3.0,3.0,0.0
17,106,29,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.98,9,3253,76.0,12.0,18.0
18,18,7,87.0,9.0,10.0,10.0,9.0,10.0,9.0,0.28,45,1935,12.0,4.0,2.0
19,5,3,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.16,159,909,3.0,2.0,0.0
20,55,10,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.59,16,2818,27.0,17.0,11.0
21,35,9,87.0,9.0,9.0,10.0,9.0,9.0,8.0,0.35,89,3022,27.0,8.0,0.0
22,108,0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,1.02,772,3169,69.0,34.0,5.0
23,182,9,93.0,10.0,10.0,10.0,10.0,9.0,9.0,1.72,75,3170,149.0,23.0,10.0
24,148,31,97.0,10.0,9.0,10.0,10.0,10.0,9.0,1.42,26,3126,116.0,13.0,19.0
25,205,19,96.0,10.0,9.0,10.0,10.0,10.0,9.0,1.97,4,3115,151.0,28.0,26.0
26,92,10,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.88,40,3146,65.0,15.0,12.0
27,630,79,89.0,10.0,9.0,10.0,10.0,10.0,9.0,5.96,1,3170,370.0,186.0,74.0
28,182,8,88.0,10.0,9.0,10.0,9.0,10.0,9.0,1.95,24,2797,91.0,72.0,19.0
29,3,0,93.0,10.0,9.0,10.0,9.0,9.0,9.0,0.07,1295,1326,1.0,2.0,0.0
30,61,12,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.8,9,2284,32.0,14.0,15.0
31,0,0,,,,,,,,,-1,-1,,,
32,8,0,86.0,8.0,10.0,9.0,9.0,9.0,9.0,0.08,920,3101,8.0,0.0,0.0
33,19,5,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0.18,11,3107,17.0,1.0,1.0
34,30,4,91.0,9.0,9.0,10.0,10.0,10.0,9.0,0.71,8,1272,18.0,10.0,2.0
35,181,33,91.0,10.0,9.0,10.0,10.0,10.0,9.0,1.74,26,3115,86.0,68.0,27.0
36,9,7,98.0,10.0,9.0,10.0,10.0,9.0,10.0,0.59,34,453,4.0,4.0,1.0
37,108,11,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1.07,10,3021,54.0,41.0,13.0
38,72,5,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0.72,85,3006,56.0,10.0,6.0
39,193,38,95.0,10.0,10.0,10.0,10.0,10.0,9.0,1.89,19,3064,112.0,65.0,16.0
40,218,8,91.0,9.0,9.0,9.0,9.0,10.0,9.0,2.07,155,3151,157.0,37.0,24.0
41,520,38,93.0,10.0,10.0,9.0,10.0,10.0,9.0,5.01,25,3114,381.0,88.0,51.0
42,80,33,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.9,8,2669,42.0,18.0,20.0
43,95,44,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,15,949,53.0,37.0,5.0
44,72,0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0.69,390,3109,44.0,21.0,7.0
45,24,10,99.0,10.0,10.0,9.0,10.0,10.0,10.0,0.54,96,1340,9.0,9.0,6.0
46,83,18,90.0,9.0,9.0,9.0,10.0,10.0,9.0,0.95,53,2627,44.0,21.0,18.0
47,8,1,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.08,299,3082,7.0,1.0,0.0
48,22,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.24,33,2739,10.0,8.0,4.0
49,65,4,81.0,8.0,7.0,9.0,9.0,10.0,8.0,0.63,24,3069,39.0,20.0,6.0
50,190,0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,1.9,397,2996,124.0,30.0,36.0
51,10,6,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0.1,33,3018,9.0,1.0,0.0
52,24,4,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.26,196,2769,14.0,8.0,2.0
53,11,1,90.0,9.0,9.0,9.0,9.0,10.0,9.0,0.11,188,3006,7.0,3.0,1.0
54,101,8,84.0,9.0,9.0,10.0,10.0,10.0,8.0,1.03,40,2940,52.0,33.0,16.0
55,6,0,72.0,8.0,7.0,8.0,8.0,9.0,8.0,0.07,864,2418,3.0,2.0,1.0
56,12,0,83.0,9.0,8.0,9.0,10.0,9.0,8.0,0.16,1321,2246,7.0,3.0,2.0
57,40,0,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0.42,1203,2873,30.0,8.0,2.0
59,224,43,91.0,9.0,9.0,10.0,9.0,10.0,9.0,2.22,20,3022,177.0,24.0,23.0
60,269,56,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2.65,6,3049,216.0,31.0,22.0
61,24,2,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0.43,141,1664,16.0,7.0,1.0
62,147,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.45,33,3046,110.0,13.0,24.0
63,0,0,,,,,,,,,-1,-1,,,
64,50,11,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0.49,10,3046,30.0,15.0,5.0
65,98,3,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.97,93,3028,91.0,5.0,2.0
66,271,17,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.67,26,3042,160.0,86.0,25.0
67,7,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.08,98,2658,6.0,1.0,0.0
68,35,4,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.36,18,2928,24.0,7.0,4.0
